community_name,builder,location,price_range,commission_rate,registration_policy,registration_notes,status,builder_url
Eastmark,Toll Brothers,Mesa AZ,$650K–$950K,3.0,Remote,,Active,https://www.tollbrothers.com/luxury-homes/Arizona/Eastmark
Cadence at Gateway,Lennar,Mesa AZ,$420K–$680K,3.0,Remote,,Active,https://www.lennar.com/new-homes/arizona/phoenix/mesa/cadence-at-gateway
Waterston North,Beazer Homes,Gilbert AZ,$550K–$800K,2.5,In-person,"Beazer requires in-person registration. Contact keep at least two business days before your planned visit so we can arrange it.",Active,
Estrella,Taylor Morrison,Goodyear AZ,$380K–$560K,3.0,Remote,,Active,https://www.taylormorrison.com/arizona/phoenix/goodyear/estrella
Verrado,William Lyon Homes,Buckeye AZ,$400K–$700K,3.0,Remote,,Coming soon,
Monroe Ranch,K. Hovnanian,Buckeye AZ,Mid $300s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/buckeye/monroe-ranch/
Chalet at Legacy Place,K. Hovnanian,Glendale AZ,Upper $400s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/glendale/chalet-at-legacy-place/
Urban at South Mountain,K. Hovnanian,Phoenix AZ,Low $400s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/phoenix-city/urban-at-south-mountain/
Manor at Legacy Place,K. Hovnanian,Peoria AZ,Upper $400s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/peoria/manor-at-legacy-place/
Serenity at Sonoran Foothills,K. Hovnanian,Phoenix AZ,Low $500s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/phoenix-city/serenity-at-sonoran-foothills/
Sheffield Place,K. Hovnanian,Gilbert AZ,Low $700s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/gilbert/sheffield-place/
Viviendo,K. Hovnanian,Chandler AZ,Upper $700s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/chandler/viviendo/
Edgewood,K. Hovnanian,San Tan Valley AZ,Low $500s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/san-tan-valley/edgewood-villas/
Aria at Silverstone,K. Hovnanian,Scottsdale AZ,Low $900s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/scottsdale/aria-at-silverstone/
Prestige on 64th,K. Hovnanian,Phoenix AZ,Low $900s,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/phoenix-city/prestige-on-64th/
Campanos Estates,K. Hovnanian,Peoria AZ,Low $1M,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/peoria/campanos-estates/
Vistara,K. Hovnanian,Chandler AZ,Low $1M,3.0,Remote,,Active,https://www.khov.com/new-construction-homes/arizona/chandler/vistara/
Brambling at Waterston Central,Tri Pointe Homes,Gilbert AZ,Low $600s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/brambling-at-waterston-central
Summit Collection at Whispering Hills,Tri Pointe Homes,Laveen AZ,High $600s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/summit-collection-at-whispering-hills
Camerano at Abel Ranch,Tri Pointe Homes,Goodyear AZ,Mid $500s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/camerano-at-abel-ranch
Navarre at Abel Ranch,Tri Pointe Homes,Goodyear AZ,Low $600s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/navarre-at-abel-ranch
Molino at Soleo,Tri Pointe Homes,San Tan Valley AZ,Low $500s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/molino-at-soleo
Blossom Rock,Tri Pointe Homes,Apache Junction AZ,Mid $700s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/blossom-rock
Vireo at Waterston Central,Tri Pointe Homes,Gilbert AZ,Low $700s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/vireo-at-waterston-central
Jacamar at Waterston Central,Tri Pointe Homes,Gilbert AZ,Low $700s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/jacamar-at-waterston-central
Gannet at Waterston Central,Tri Pointe Homes,Gilbert AZ,High $600s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/gannet-at-waterston-central
Revana at Soleo,Tri Pointe Homes,San Tan Valley AZ,High $500s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/revana-at-soleo
Solstice at Terraza,Tri Pointe Homes,San Tan Valley AZ,Mid $500s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/solstice-at-terraza
Ridge Collection at Whispering Hills,Tri Pointe Homes,Laveen AZ,High $500s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/ridge-collection-at-whispering-hills
Atlas Collection at Whispering Hills,Tri Pointe Homes,Laveen AZ,Low $1.1M,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/atlas-collection-at-whispering-hills
Emberly,Tri Pointe Homes,Queen Creek AZ,From $1.3M,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/emberly
Canastero at Waterston Central,Tri Pointe Homes,Gilbert AZ,Low $800s,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/canastero-at-waterston-central
Lucent at Terraza,Tri Pointe Homes,San Tan Valley AZ,From $430K,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/lucent-at-terraza/
Arietta at Soleo,Tri Pointe Homes,San Tan Valley AZ,From $440K,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/arietta-at-soleo/
Luna at Soleo,Tri Pointe Homes,San Tan Valley AZ,From $500K,3.0,In-person,"Registration expires after 30 days. Contact keep before your first visit.",Active,https://www.tripointehomes.com/az/phoenix-metro/luna-at-soleo/
Highpointe at Northpointe,Beazer Homes,Peoria AZ,From $540K,2.5,In-person,"In-person registration required. Contact keep at least two business days before visiting.",Active,https://www.beazer.com/phoenix-az/highpointe-at-northpointe
Sanctuary,Beazer Homes,Phoenix AZ,From $580K,2.5,In-person,"In-person registration required. Contact keep at least two business days before visiting.",Active,https://www.beazer.com/phoenix-az/sanctuary
Montana Vista,Beazer Homes,Buckeye AZ,From $370K,2.5,In-person,"In-person registration required. Contact keep at least two business days before visiting.",Active,https://www.beazer.com/phoenix-az/montana-vista
Tirreno at IronWing,Beazer Homes,Litchfield Park AZ,From $450K,2.5,In-person,"In-person registration required. Contact keep at least two business days before visiting.",Active,https://www.beazer.com/phoenix-az/tirreno-at-ironwing
Retreat Collection at Union Park,Cachet Homes,Phoenix AZ,Mid $600s,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.cachethomes.net/community/union-park/retreat-collection/
Emerald Hills,Cachet Homes,Scottsdale AZ,From $3M,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.cachethomes.net/community/emerald-hills/
Miravida,Mattamy Homes,Surprise AZ,$461K–$624K,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://mattamyhomes.com/arizona/phoenix/surprise/miravida
Allen Ranches,Pulte Homes,Litchfield Park AZ,$300s–$600s,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.pulte.com/homes/arizona/phoenix/litchfield-park/allen-ranches-210996
Aloravita,Pulte Homes,Peoria AZ,$500s–$900s,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.pulte.com/homes/arizona/phoenix/peoria/aloravita-211091
Legado West,Pulte Homes,Queen Creek AZ,$500s–$800s,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.pulte.com/homes/arizona/phoenix/queen-creek/legado-west-211397
Harvest Enchantment Series,Pulte Homes,Queen Creek AZ,Contact builder,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.pulte.com/homes/arizona/phoenix/queen-creek/harvest-enchantment-series-210900
Artisan at Asante,Pulte Homes,Surprise AZ,$400s–$600s,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.pulte.com/homes/arizona/phoenix/surprise/artisan-at-asante-211230
Upper Canyon,D.R. Horton,Phoenix AZ,From $600K,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.drhorton.com/arizona/phoenix/phoenix/upper-canyon
Avance,D.R. Horton,Phoenix AZ,From $488K,3.0,In-person,"In-person registration required. Contact keep before visiting.",Active,https://www.drhorton.com/arizona/phoenix/phoenix/avance
